legacy_name,menu_found,menu_id,menu_path,match_method,behavior_tested
FWC 2,True,M322,ATA 31 - Indicating/Recording system → FWC → 2,normalized_exact_label_or_group_label,False
Forward avionics door,True,M342,ATA 52 - Doors → Doors left → Forward Avionics Door,normalized_exact_label_or_group_label,False
Forward cargo door,True,M351,ATA 52 - Doors → Doors right → Forward Cargo Door,normalized_exact_label_or_group_label,False
Fuel pump center 1,True,M099,ATA 28 - Fuel → Fuel pump center → 1,normalized_exact_label_or_group_label,False
Fuel pump center 2,True,M100,ATA 28 - Fuel → Fuel pump center → 2,normalized_exact_label_or_group_label,False
Fuel pump left 1,True,M097,ATA 28 - Fuel → Fuel pump left → 1,normalized_exact_label_or_group_label,False
Fuel pump left 2,True,M098,ATA 28 - Fuel → Fuel pump left → 2,normalized_exact_label_or_group_label,False
Fuel pump right 1,True,M101,ATA 28 - Fuel → Fuel pump right → 1,normalized_exact_label_or_group_label,False
Fuel pump right 2,True,M102,ATA 28 - Fuel → Fuel pump right → 2,normalized_exact_label_or_group_label,False
GPS 1,True,M215,ATA 34 - Navigation → GPS → 1,normalized_exact_label_or_group_label,False
GPS 2,True,M216,ATA 34 - Navigation → GPS → 2,normalized_exact_label_or_group_label,False
GPWC,True,M204,ATA 34 - Navigation → GPWC,normalized_exact_label_or_group_label,False
Gear locked down,True,M171,ATA 32 - Landing gear → Gear failure → Gear Locked Down,normalized_exact_label_or_group_label,False
Generator 1,True,M060,ATA 24 - Electrical power → Generator → 1,normalized_exact_label_or_group_label,False
Generator 2,True,M061,ATA 24 - Electrical power → Generator → 2,normalized_exact_label_or_group_label,False
Green hydraulic leak,True,M126,ATA 29 - Hydraulic power → Hydraulic leak → Green,reviewed_group_label_alias,False
Hot air valve,True,M229,ATA 36 - Pneumatic → Pneumatic valves → Hot Air Valve,normalized_exact_label_or_group_label,False
ILS 1 G/S,True,M210,ATA 34 - Navigation → ILS → 1 G/s,normalized_exact_label_or_group_label,False
ILS 1 LOC,True,M209,ATA 34 - Navigation → ILS → 1 Loc,normalized_exact_label_or_group_label,False
ILS 2 G/S,True,M212,ATA 34 - Navigation → ILS → 2 G/s,normalized_exact_label_or_group_label,False
ILS 2 LOC,True,M211,ATA 34 - Navigation → ILS → 2 Loc,normalized_exact_label_or_group_label,False
IR1 position failure,True,M175,ATA 34 - Navigation → IRS position failure → Ir1 Position Failure,normalized_exact_label_or_group_label,False
IR2 IR failure,True,M173,ATA 34 - Navigation → IR fault → Ir2 Ir Failure,normalized_exact_label_or_group_label,False
IR2 position failure,True,M176,ATA 34 - Navigation → IRS position failure → Ir2 Position Failure,normalized_exact_label_or_group_label,False
IR3 IR failure,True,M174,ATA 34 - Navigation → IR fault → Ir3 Ir Failure,normalized_exact_label_or_group_label,False
IR3 position failure,True,M177,ATA 34 - Navigation → IRS position failure → Ir3 Position Failure,normalized_exact_label_or_group_label,False
LGCUI 1,True,M164,ATA 32 - Landing gear → LGCIU → 1,reviewed_group_label_alias,False
LGCUI 2,True,M165,ATA 32 - Landing gear → LGCIU → 2,reviewed_group_label_alias,False
Lavatory/Galley fan,True,M223,ATA 36 - Pneumatic → Lavatory/Galley fan,normalized_exact_label_or_group_label,False
Left Static heat Capt,True,M263,ATA 30 - Ice and rain protection → Static Heat → Left  Capt,reviewed_group_label_alias,False
Left Static heat F/O,True,M265,ATA 30 - Ice and rain protection → Static Heat → Left  F/o,reviewed_group_label_alias,False
Left Static heat Stby,True,M267,ATA 30 - Ice and rain protection → Static Heat → Left  Stby,reviewed_group_label_alias,False
Left WAI Valve,True,M248,ATA 30 - Ice and rain protection → WAI Valves → Left Wai Valve,normalized_exact_label_or_group_label,False
Left reverser inhibited by maint,True,M375,ATA 70 - Power plant → Reverser inhibited by maintenance → Left Reverser Inhibited By Maint,normalized_exact_label_or_group_label,False
Left reverser pressurized,True,M371,ATA 70 - Power plant → Reverser pressurized → Left,reviewed_group_label_alias,False
Left reverser unlocked,True,M373,ATA 70 - Power plant → Reverser unlocked → Left,reviewed_group_label_alias,False
Left transfer 1,True,M111,ATA 28 - Fuel → Fuel transfer valves → Left Transfer 1,normalized_exact_label_or_group_label,False
Left transfer 2,True,M112,ATA 28 - Fuel → Fuel transfer valves → Left Transfer 2,normalized_exact_label_or_group_label,False
MCDU 1,True,M198,ATA 34 - Navigation → MCDU → 1,normalized_exact_label_or_group_label,False
MCDU 2,True,M199,ATA 34 - Navigation → MCDU → 2,normalized_exact_label_or_group_label,False
